frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[217.38232421875 362.37969970703125 1098.201171875 594.4089965820312],0.7154410481452942,KL 07 DE 5432,0.8280204005329066
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[362.02435302734375 0.9304748773574829 626.8689575195312 393.7940368652344],[59.53387451171875 104.88488006591797 401.28094482421875 208.3542938232422],0.6743720173835754,KL 0 LAB 6771,0.7363621494078701
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[217.38232421875 362.37969970703125 1098.201171875 594.4089965820312],0.7154410481452942,KL 07 DE 5432,0.8280204005329066
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[217.38232421875 362.37969970703125 1098.201171875 594.4089965820312],0.7154410481452942,KL 07 DE 5432,0.8280204005329066
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[172.69119262695312 321.9964599609375 1037.9462890625 543.779052734375],0.6026239991188049,KL 30 G 4878,0.9513534750051362
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534775414511699
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333,0.9311082661151886
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534776407922445
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[172.69119262695312 321.9964599609375 1037.9462890625 543.779052734375],0.602624237537384,KL 30 G 4878,0.9513534368744647
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[1.7513427734375 0.0 1263.125732421875 677.5281982421875],[246.12265014648438 298.7012939453125 1076.3204345703125 529.5115966796875],0.4678806662559509,KL 07 DD 8765,0.6125493695171386
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0.0 0.0 1271.9755859375 741.2349853515625],[318.4922180175781 406.525146484375 1063.391845703125 628.2449951171875],0.447642058134079,3DG333KL,0.9534776407922445
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[278.2440185546875 7.680511474609375 3763.60791015625 1994.276611328125],[1165.5482177734375 1152.0938720703125 3150.642822265625 1694.3134765625],0.6164912581443787,KL30G333,0.92074066398594
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[65.01380157470703 167.5988006591797 703.7283325195312 527.898681640625],[207.56773376464844 44.92026901245117 543.6300659179688 144.62875366210938],0.6847058534622192,KL 07 CB 6865,0.7013994594641155
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[12.93292236328125 0.6723266839981079 689.2179565429688 461.40985107421875],[79.22115325927734 188.89845275878906 609.6060180664062 341.9498596191406],0.8233246803283691,KL 07 CW 8558,0.5372405077098253
1,1,[12.93292236328125 0.6723266839981079 689.2179565429688 461.40985107421875],[222.7534942626953 192.9620819091797 597.1258544921875 330.1986999511719],0.37479496002197266,DZCHB558],0.38408495470465787
frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
